instance,repetition,cost,consistent,travel_time,total_tardiness,highest_tardiness,total_waiting_time,total_extra_time,max_idle_time,workload_balance,preferences,unscheduled,missed_lunch_break,objective,violations,time,seed
i-446,9,19500,yes,9324,41070,1860,192,111,9984,0,0,840,0,19500,0,55.8581,2434839032
i-219,7,7728,yes,7128,43626,532,0,9304,600,0,200,2400,350,7728,0,56.2577,4259804444
i-083,1,11956,yes,4986,14604,2156,40,820,6930,0,540,0,0,11956,0,51.8367,651971779
i-134,6,13328,yes,471,1638,732,260,488,12597,0,8,640,0,13328,0,16.5627,128293601
i-369,7,26304,yes,11544,8849,2972,0,2956,14760,0,245,2160,0,26304,0,46.2231,1939673739
i-446,1,19667,yes,9333,37685,1328,194,111,10140,0,0,1080,0,19667,0,53.2022,4161514267
i-134,7,13328,yes,471,1638,732,260,488,12597,0,8,640,0,13328,0,16.5793,2967818081
i-083,8,10038,yes,5258,5958,1224,160,460,4620,0,564,0,0,10038,0,52.1025,2888753501
i-134,8,13328,yes,471,1638,732,260,488,12597,0,8,640,0,13328,0,16.4331,4252814687
i-250,3,26636,yes,13254,47770,1304,5,12,13377,0,74,4960,0,26636,0,99.4717,2767633746
i-134,9,13328,yes,471,1638,732,260,488,12597,0,8,640,0,13328,0,16.5374,1021261879
i-083,2,12901,yes,3858,8742,1688,48,485,8995,0,552,0,70,12901,0,51.6335,750326954
i-369,8,27247,yes,11416,9136,2372,135,3046,15696,0,252,1980,0,27247,0,46.1192,2291272598
i-272,4,38664,yes,3861,127998,2068,3,12220,34800,0,288,10080,960,38664,0,60.7996,2523017701
i-083,9,10860,yes,4598,3861,832,32,351,6230,0,600,0,0,10860,0,51.5766,1765212930
i-263,3,28208,yes,22368,26074,1214,230,13518,5610,0,236,4300,70,28208,0,141.154,2699182873
i-134,0,13328,yes,471,1638,732,260,488,12597,0,8,640,0,13328,0,15.7284,2246956518
i-369,9,26010,yes,10944,7290,1492,18,2432,15048,0,259,2700,0,26010,0,44.7813,3502952379
i-083,3,11901,yes,4732,9075,1624,64,588,7105,0,492,0,0,11901,0,51.2943,579486889
i-272,0,38584,yes,3780,138654,2516,4,12240,34800,0,320,10200,1080,38584,0,59.3216,1343978122
i-134,1,13328,yes,471,1638,732,260,488,12597,0,8,640,0,13328,0,15.6036,2939889025
i-126,2,37388,yes,21774,110643,605,104,23256,15510,0,1547,5600,180,37388,0,106.007,1185026060
i-134,2,13328,yes,471,1638,732,260,488,12597,0,8,640,0,13328,0,15.67,876719946
i-250,4,27185,yes,14190,41235,1108,10,30,12985,0,82,5600,0,27185,0,97.5888,1484903613
i-134,3,13328,yes,471,1638,732,260,488,12597,0,8,640,0,13328,0,15.8131,3379408170
i-272,5,25123,yes,13110,66132,1088,7,0,12006,0,560,3000,0,25123,0,89.613,1110366071
i-083,4,11786,yes,4512,8562,1632,64,596,7210,0,528,0,0,11786,0,51.5362,4272462228
i-134,4,13328,yes,471,1638,732,260,488,12597,0,8,640,0,13328,0,15.6732,1432912069
i-134,5,13328,yes,471,1638,732,260,488,12597,0,8,640,0,13328,0,15.6371,155093632
i-250,0,26925,yes,13974,44630,1212,15,87,12936,0,76,4960,0,26925,0,98.9531,2417529509
i-272,1,25596,yes,11385,76302,1304,1,0,14210,0,432,3600,0,25596,0,90.8027,1882344810
i-083,5,9578,yes,5528,6414,1440,200,310,3850,0,588,0,0,9578,0,51.9383,1401457704
i-263,4,30352,yes,23072,38211,1522,110,23994,7170,0,242,4800,140,30352,0,137.141,1413615660
i-406,0,24028,yes,14096,4192,684,132,224,9800,0,0,5040,0,24028,0,50.4739,1986310414
i-126,3,34273,yes,22338,77601,680,232,16340,11703,0,1581,5760,0,34273,0,106.836,3806220212
i-272,6,25268,yes,11832,92322,1364,38,790,13398,0,544,3240,0,25268,0,88.7698,2212413883
i-250,5,27091,yes,13758,39775,1216,5,99,13328,0,82,5600,0,27091,0,97.2939,1376076163
i-083,6,10566,yes,5120,10950,2060,56,477,5390,0,564,0,0,10566,0,51.6423,3710722427
i-406,1,25420,yes,13664,13280,1086,6,439,11750,0,0,5460,0,25420,0,49.276,1259682095
i-272,2,25566,yes,12762,69705,1120,44,140,12760,0,512,3360,0,25566,0,91.5427,4252165733
i-272,7,38631,yes,3831,125055,2628,0,11900,34800,0,352,10080,1020,38631,0,60.6459,279988496
i-250,1,26647,yes,12618,53630,1376,15,93,14014,0,70,5920,0,26647,0,96.8312,3999211027
i-083,7,10146,yes,4888,2532,760,8,260,5250,0,612,0,0,10146,0,52.7971,2078135168
i-406,2,27635,yes,11752,14344,1278,33,1235,15850,0,0,6160,50,27635,0,47.2659,4113346836
i-126,4,38613,yes,22326,134193,840,72,28572,16215,0,1615,5920,180,38613,0,103.683,421795877
i-250,6,26778,yes,12852,51960,1292,10,600,13916,0,74,5600,0,26778,0,98.4555,459620776
i-406,8,24608,yes,14928,14984,1461,30,560,9650,0,0,5180,0,24608,0,49.9985,283645062
i-272,3,38746,yes,3939,187461,2936,7,16530,34800,0,240,10080,1020,38746,0,60.2095,3753163767
i-272,8,38482,yes,3675,151542,2640,7,14510,34800,0,304,10200,1080,38482,0,59.7998,915252781
i-263,5,29200,yes,22440,36798,1562,190,24048,6570,0,244,4800,70,29200,0,138.732,1468022864
i-406,3,24484,yes,13616,10064,960,18,346,10850,0,0,5320,50,24484,0,49.3136,1414410094
i-406,9,24990,yes,13872,13352,1326,18,772,11100,0,0,5180,50,24990,0,51.5605,4101223840
i-406,4,23617,yes,14352,9388,936,15,461,9250,0,0,4760,0,23617,0,50.1388,915542318
i-250,7,26086,yes,12924,43435,1300,30,165,13132,0,80,4480,0,26086,0,99.858,3950815331
i-126,5,37476,yes,21678,119193,796,288,25376,15510,0,1479,5920,180,37476,0,102.324,1242311597
i-272,9,25443,yes,12672,71082,1244,11,400,12760,0,528,3000,0,25443,0,89.6535,2003085165
i-054,4,59098,yes,38568,120690,3144,130,23219,20400,0,192,1960,100,59098,0,111.109,1069812878
i-406,5,25010,yes,13200,20724,2193,60,1001,11750,0,0,5320,50,25010,0,48.8942,2443850016
i-263,6,30234,yes,21064,47812,1646,170,34176,9000,0,234,4800,1260,30234,0,129.559,1558790597
i-406,6,26777,yes,13376,26560,1257,51,1279,13350,0,0,5600,100,26777,0,48.3749,957558802
i-250,8,26700,yes,13200,46265,1400,25,180,13475,0,76,4960,0,26700,0,99.0002,4291000844
i-185,6,20137,yes,8660,168800,1308,81,459,11396,0,4680,4500,0,20137,0,223.044,428717412
i-126,6,37356,yes,21558,110094,687,288,22756,15510,0,1547,5600,90,37356,0,101.028,1767607762
i-126,0,36957,yes,22050,97659,757,384,21364,14523,0,1632,5760,90,36957,0,104.649,2651961324
i-406,7,27078,yes,12760,24352,1617,18,1131,14300,0,0,5600,50,27078,0,48.7465,1459514428
i-054,5,66706,yes,36896,155855,3340,110,34356,29700,0,156,2660,100,66706,0,108.255,2434815189
i-185,0,19996,yes,8152,199840,1508,78,1452,11766,0,4608,5100,90,19996,0,218.646,1950414796
i-414,2,30188,yes,19440,8440,1348,780,1385,9968,0,300,0,0,30188,0,51.4444,3914568493
i-263,7,31228,yes,21968,38543,1394,260,27936,9000,0,236,4900,840,31228,0,130.306,1133021810
i-250,9,27043,yes,13416,49585,1396,5,177,13622,0,82,6240,0,27043,0,100.469,2926283409
i-126,7,42024,yes,22020,110499,884,264,27136,19740,0,1462,6240,180,42024,0,104.391,3853120264
i-316,0,9360,yes,2115,6652,1038,20,1800,7225,0,104,0,60,9360,0,30.8242,519404257
i-126,1,35175,yes,22308,76920,672,224,17904,12643,0,1530,6080,0,35175,0,109.294,3224091737
i-316,8,9368,yes,2121,6808,1074,22,1806,7225,0,91,0,0,9368,0,30.7701,268905859
i-414,3,29547,yes,20619,4008,552,80,1025,8848,0,270,0,0,29547,0,51.2562,3340451348
i-054,6,62468,yes,35088,150810,4184,380,28007,27000,0,168,2800,100,62468,0,105.181,3850437140
i-316,1,9369,yes,2124,5964,1008,20,1506,7225,0,91,0,0,9369,0,30.2027,1648883488
i-316,9,9360,yes,2115,6652,1038,20,1800,7225,0,104,0,60,9360,0,31.3407,1417186218
i-316,2,9361,yes,2118,6976,1080,18,1878,7225,0,104,0,0,9361,0,30.7337,3999842394
i-414,4,30267,yes,20421,5656,628,550,1365,9296,0,330,0,0,30267,0,50.8024,3171785960
i-316,3,9368,yes,2121,6808,1074,22,1806,7225,0,91,0,0,9368,0,30.1685,1746182966
i-126,8,35518,yes,21738,100386,658,432,21344,13348,0,1581,5760,90,35518,0,107.623,4200813037
i-185,7,19725,yes,7968,209260,1244,102,870,11655,0,4590,4600,0,19725,0,218.997,26832254
i-316,4,9368,yes,2121,6808,1074,22,1806,7225,0,91,0,0,9368,0,30.6981,637293434
i-414,5,29285,yes,17397,11936,964,240,1680,11648,0,320,0,0,29285,0,51.1685,3702086472
i-054,7,62615,yes,35400,159170,3756,290,27972,26925,0,168,2660,300,62615,0,105.361,2201626697
i-316,5,9433,yes,2178,6924,945,30,1686,7225,0,91,0,60,9433,0,30.2189,3686332441
i-414,6,30088,yes,18279,9312,1012,665,1785,11144,0,290,0,0,30088,0,50.0761,1766624730
i-185,1,19943,yes,8204,188460,1240,84,810,11655,0,4554,4900,0,19943,0,216.277,1582950958
i-316,6,9467,yes,2175,4984,963,16,1638,7276,0,117,0,0,9467,0,30.656,544777282
i-126,9,38079,yes,22128,106653,929,112,23384,15839,0,1496,6400,180,38079,0,104.363,1121519159
i-316,7,9376,yes,2133,6948,1077,18,1812,7225,0,91,0,0,9376,0,30.2907,2428598654
i-416,6,25980,yes,24780,1453820,3066,0,36196,1200,0,1100,0,1750,25980,0,210.759,3105289930
i-414,7,30390,yes,17505,18384,1532,565,2350,12320,0,310,0,0,30390,0,50.4039,1236448960
i-247,2,20289,yes,395,884,260,0,239,19894,0,0,1980,60,20289,0,19.8067,83580420
i-054,8,65035,yes,36560,195020,4376,50,34692,28425,0,164,2660,50,65035,0,106.96,484363498
i-247,3,20292,yes,398,1820,606,0,253,19894,0,0,2160,60,20292,0,19.7055,2469465895
i-416,0,26498,yes,25298,1171760,2748,0,33572,1200,0,1060,0,1680,26498,0,209.014,4209551838
i-247,4,20291,yes,397,984,272,0,147,19894,0,0,2160,60,20291,0,19.5083,14935396
i-414,8,30705,yes,18126,6928,532,595,1695,11984,0,310,0,0,30705,0,50.9803,4145543048
i-247,5,20292,yes,398,1820,606,0,253,19894,0,0,2160,60,20292,0,19.6447,1404093290
i-247,6,20291,yes,397,984,272,0,147,19894,0,0,2160,60,20291,0,19.6288,370327455
i-164,4,54990,yes,27558,193900,2247,126,21072,27306,0,252,0,0,54990,0,118.117,1630590624
i-185,8,19871,yes,8064,187990,1624,78,1350,11729,0,4806,4500,90,19871,0,219.731,1565422807
i-414,9,30297,yes,18729,10816,1268,480,2330,11088,0,280,0,0,30297,0,50.7539,1587345981
i-247,7,20291,yes,397,984,272,0,147,19894,0,0,2160,60,20291,0,20.1619,408842364
i-054,9,66565,yes,37800,177475,3892,40,34580,28725,0,176,2660,50,66565,0,105.826,4111873850
i-247,8,20292,yes,398,1820,606,0,253,19894,0,0,2160,60,20292,0,19.7463,4201108068
i-247,9,20291,yes,397,984,272,0,147,19894,0,0,2160,60,20291,0,19.74,2125763
i-414,0,30737,yes,17271,9432,952,810,1780,12656,0,320,0,0,30737,0,48.6722,3288672606
i-185,2,19999,yes,7856,207490,1224,81,1026,12062,0,4554,5300,0,19999,0,212.538,923496489
i-416,7,25217,yes,24017,1472370,2778,0,37472,1200,0,1128,0,1820,25217,0,215.723,123673963
i-164,5,56108,yes,27450,215340,2457,204,23088,28454,0,252,0,0,56108,0,119.403,3309761547
i-414,1,31125,yes,20304,7848,628,685,1930,10136,0,290,0,0,31125,0,48.9021,3286476644
i-116,6,12177,yes,434,4808,1075,7,0,11736,0,0,400,0,12177,0,12.9102,83857887
i-416,1,25448,yes,24248,1415540,3024,0,36032,1200,0,1136,0,1820,25448,0,201.927,1158892881
i-116,7,12177,yes,434,4808,1075,7,0,11736,0,0,400,0,12177,0,12.6305,3252669332
i-116,8,12177,yes,434,4808,1075,7,0,11736,0,0,400,0,12177,0,12.6757,3296456801
i-116,9,12177,yes,434,4808,1075,7,0,11736,0,0,400,0,12177,0,12.6861,1077320525
i-185,9,20251,yes,8324,217760,1188,87,1317,11840,0,4680,4900,180,20251,0,225.636,523605610
i-164,6,55811,yes,31401,191395,2778,138,20432,24272,0,364,0,0,55811,0,117.738,1224141507
i-360,0,35764,yes,27744,56082,1892,340,14502,7680,0,1060,7400,350,35764,0,117.266,2531700036
i-185,3,20180,yes,8100,184460,1280,129,606,11951,0,4518,5700,0,20180,0,224.266,2053024902
i-175,0,32095,yes,4396,264690,399,20,1230,27679,0,2304,0,0,32095,0,313.047,3049691101
