instance,repetition,cost,consistent,travel_time,total_tardiness,highest_tardiness,total_waiting_time,total_extra_time,max_idle_time,workload_balance,preferences,unscheduled,missed_lunch_break,objective,violations,time,seed
i-083,1,4177,yes,5502,303,164,2560,139,3710,0,612,0,0,4177,0,51.954,1329324341
i-134,6,14120,yes,464,28,16,476,272,14076,0,0,640,0,14120,0,15.5693,2938879930
i-369,7,6480,yes,18664,0,0,3798,1270,6480,0,238,2520,0,6480,0,47.4948,1164083037
i-134,7,14120,yes,464,28,16,476,272,14076,0,0,640,0,14120,0,15.3968,2914822111
i-446,1,7038,yes,16317,75,60,990,0,6903,0,0,480,0,7038,0,58.4084,3136671046
i-083,8,4646,yes,5274,309,172,3408,114,4165,0,588,0,0,4646,0,53.4523,63551961
i-134,8,14120,yes,464,28,16,476,272,14076,0,0,640,0,14120,0,15.4829,1001768136
i-250,3,3969,yes,38898,0,0,1900,0,3969,0,90,1440,0,3969,0,108.411,567135775
i-263,2,1620,yes,63448,0,0,7595,390,1620,0,282,1700,0,1620,0,162.128,3757409544
i-134,9,14120,yes,441,28,16,460,216,14076,0,0,640,0,14120,0,15.5057,1710285786
i-083,2,4241,yes,5496,324,172,4592,136,3745,0,576,0,0,4241,0,52.6207,2639718072
i-369,8,6480,yes,19384,0,0,2952,1252,6480,0,238,2520,0,6480,0,47.6685,1343741658
i-083,9,4948,yes,5590,678,280,3712,247,3990,0,576,0,0,4948,0,52.9627,2003172469
i-272,4,7308,yes,20118,0,0,414,0,7308,0,544,3240,0,7308,0,91.5937,2654870087
i-134,0,14120,yes,443,28,16,458,216,14076,0,0,640,0,14120,0,15.2075,3836678984
i-083,3,4676,yes,5690,705,296,3480,218,3675,0,516,0,0,4676,0,51.7657,3544726032
i-369,9,6480,yes,18592,0,0,1206,1206,6480,0,266,2160,0,6480,0,47.7998,833375118
i-134,1,14120,yes,464,28,16,476,272,14076,0,0,640,0,14120,0,15.2775,1287931933
i-134,2,14120,yes,443,28,16,458,216,14076,0,0,640,0,14120,0,15.1244,813438320
i-126,2,2440,yes,44658,1050,168,2856,10904,1222,0,1513,4960,0,2440,0,108.503,3213385931
i-272,0,7540,yes,20115,0,0,763,0,7540,0,576,3240,0,7540,0,87.7025,312824744
i-134,3,14120,yes,464,28,16,476,272,14076,0,0,640,0,14120,0,15.3406,798506710
i-250,4,3871,yes,38982,0,0,1330,0,3871,0,78,1280,0,3871,0,106.083,3077543780
i-134,4,14120,yes,464,28,16,476,272,14076,0,0,640,0,14120,0,15.1482,2377010756
i-083,4,4333,yes,5646,525,308,3784,162,3500,0,540,0,0,4333,0,51.7648,3418374686
i-134,5,14120,yes,443,28,16,458,216,14076,0,0,640,0,14120,0,15.1748,1622373925
i-272,5,7540,yes,20154,0,0,627,50,7540,0,496,3360,0,7540,0,90.648,3050343210
i-263,3,1620,yes,64184,0,0,6240,876,1620,0,282,1800,0,1620,0,161.215,1078016548
i-083,5,4724,yes,5562,567,272,4448,218,3885,0,552,0,0,4724,0,52.0987,1999153904
i-250,0,4116,yes,38622,0,0,1940,0,4116,0,88,960,0,4116,0,104.461,3660305903
i-406,0,462,yes,31048,196,66,39,420,200,0,0,2520,0,462,0,56.7427,443533472
i-272,1,7830,yes,20058,0,0,658,0,7830,0,560,3000,0,7830,0,89.686,911417795
i-126,3,806,yes,44778,204,38,1440,10256,564,0,1462,4800,0,806,0,108.642,2545251666
i-250,5,4263,yes,38040,0,0,1880,3,4263,0,90,1600,0,4263,0,107.183,3285505547
i-083,6,4453,yes,5608,495,248,2400,195,3710,0,612,0,0,4453,0,51.455,1897769792
i-272,6,7424,yes,20130,0,0,574,10,7424,0,592,3240,0,7424,0,89.487,4285650686
i-406,1,1500,yes,30752,0,0,30,301,1500,0,0,3500,0,1500,0,56.3502,3370707003
i-083,7,4178,yes,5432,273,160,3176,106,3745,0,540,0,0,4178,0,51.36,2125510421
i-250,1,3773,yes,38658,0,0,1595,0,3773,0,78,960,0,3773,0,104.87,2077836321
i-272,2,7366,yes,20187,0,0,531,10,7366,0,592,3240,0,7366,0,90.4356,2405784018
i-406,2,933,yes,29688,24,9,177,416,900,0,0,2660,0,933,0,56.9397,4001793135
i-272,7,7540,yes,19974,0,0,673,0,7540,0,528,3360,0,7540,0,88.9568,822125317
i-250,6,4067,yes,38202,0,0,2460,0,4067,0,78,1120,0,4067,0,106.531,2739432900
i-126,4,920,yes,43572,201,61,1384,8792,658,0,1564,5120,0,920,0,117.131,511269272
i-263,4,1650,yes,62912,0,0,8365,726,1650,0,290,1700,0,1650,0,163.076,3347931691
i-406,8,454,yes,31080,88,66,48,343,300,0,0,2940,0,454,0,55.9121,631954691
i-406,3,989,yes,30600,100,39,102,283,850,0,0,3220,0,989,0,54.8659,3072687039
i-272,3,7308,yes,20262,0,0,377,0,7308,0,528,3480,0,7308,0,90.0858,3883978837
i-406,9,1705,yes,30456,40,15,321,550,1650,0,0,3220,0,1705,0,55.2207,3577321522
i-272,8,7308,yes,20409,0,0,604,0,7308,0,496,3120,0,7308,0,90.7441,2925122819
i-406,4,814,yes,31528,8,6,48,441,800,0,0,2940,0,814,0,55.8805,3026900665
i-250,7,4335,yes,38106,40,32,1780,0,4263,0,100,1600,0,4335,0,105.408,4279378504
i-126,5,1759,yes,46284,789,77,1696,11484,893,0,1598,5120,0,1759,0,109.581,1863367197
i-406,5,333,yes,31536,56,27,72,478,250,0,0,2660,0,333,0,56.1143,3801878127
i-054,4,2359,yes,73720,870,364,1480,9618,1125,0,184,1960,0,2359,0,110.018,724116843
i-263,5,1770,yes,63040,0,0,7325,678,1770,0,280,1800,0,1770,0,165.962,52935747
i-272,9,7482,yes,20049,0,0,619,80,7482,0,480,2880,0,7482,0,89.3188,2132684284
i-406,6,439,yes,30456,100,39,21,448,300,0,0,2380,0,439,0,55.9849,3008640068
i-250,8,3773,yes,38988,0,0,1620,0,3773,0,92,1120,0,3773,0,106.243,3944585753
i-185,6,7326,yes,22408,0,0,11985,0,7326,0,5724,0,0,7326,0,251.929,1506058868
i-126,6,807,yes,46590,381,50,752,10840,376,0,1513,4640,0,807,0,109.125,3748839744
i-406,7,1192,yes,29304,24,18,132,510,1150,0,0,2520,0,1192,0,56.3309,31939130
i-054,5,2903,yes,72816,1570,508,1190,8421,825,0,192,1960,0,2903,0,116.46,383187672
i-126,0,2658,yes,44154,756,116,4184,11324,1786,0,1547,5120,0,2658,0,109.983,2059289930
i-185,0,7289,yes,22400,0,0,12252,33,7289,0,5778,100,0,7289,0,245.862,1866055394
i-414,2,7736,yes,24129,872,144,2295,695,6720,0,320,0,0,7736,0,51.7443,1643410077
i-250,9,3920,yes,38910,0,0,2405,0,3920,0,90,960,0,3920,0,109.725,2114706154
i-126,7,1679,yes,46566,501,50,2184,11536,1128,0,1598,5280,0,1679,0,107.356,3343775885
i-263,6,1785,yes,62232,0,0,8295,588,1785,0,278,1800,0,1785,0,165.83,3524647627
i-316,0,7384,yes,2568,108,51,394,0,7225,0,104,0,0,7384,0,31.1326,1550984446
i-414,3,7924,yes,25128,1480,228,2235,1085,6216,0,330,0,0,7924,0,51.2506,37861728
i-316,1,8363,yes,2565,884,237,856,516,7242,0,117,0,0,8363,0,30.7865,1149022343
i-054,6,3738,yes,73424,1900,488,3020,10458,1350,0,160,2100,0,3738,0,107.253,3902154776
i-126,1,2578,yes,44730,954,214,3208,10808,1410,0,1513,5120,0,2578,0,111.112,1705839664
i-316,2,7539,yes,2436,260,54,374,30,7225,0,130,0,0,7539,0,30.9169,297606636
i-414,4,7948,yes,24399,1208,244,2400,900,6496,0,310,0,0,7948,0,51.2407,1280096145
i-316,8,7610,yes,2586,248,120,738,162,7242,0,117,0,0,7610,0,31.3993,1557016843
i-126,8,1228,yes,43194,129,18,2440,10036,1081,0,1513,4640,0,1228,0,114.636,2403594702
i-316,3,8018,yes,2577,596,180,434,276,7242,0,104,0,0,8018,0,31.3114,2510142064
i-316,9,7549,yes,2628,248,93,804,48,7208,0,130,0,0,7549,0,30.1502,2749232072
i-185,7,7289,yes,22980,0,0,11298,9,7289,0,5562,200,0,7289,0,250.886,1709378352
i-414,5,8636,yes,25110,1936,316,1895,1200,6384,0,300,0,0,8636,0,51.1886,1396678480
i-316,4,8410,yes,2898,872,279,806,708,7259,0,117,0,0,8410,0,30.9073,1356653632
i-054,7,3179,yes,70488,1615,364,1730,6328,1200,0,184,2240,0,3179,0,108.359,3746131790
i-263,7,1605,yes,64200,0,0,7165,942,1605,0,294,1500,0,1605,0,165.474,451892447
i-316,5,8015,yes,2802,580,210,530,510,7225,0,104,0,0,8015,0,30.654,2822306457
i-414,6,8860,yes,25173,2008,300,2045,1175,6552,0,290,0,0,8860,0,52.0819,871490112
i-316,6,9048,yes,2703,1364,459,406,648,7225,0,104,0,0,9048,0,31.1103,3404912226
i-185,1,7252,yes,22576,0,0,11157,6,7252,0,5634,100,0,7252,0,242.002,2614385393
i-126,9,1957,yes,44106,450,50,3392,10624,1457,0,1632,5120,0,1957,0,114.315,1316806478
i-316,7,7380,yes,2565,116,39,324,0,7225,0,104,0,0,7380,0,31.1736,3746358037
i-414,7,10072,yes,25506,2920,432,3205,1545,6720,0,240,0,0,10072,0,52.3952,1365574796
i-247,2,19894,yes,586,0,0,984,163,19894,0,0,1260,60,19894,0,7.55835,3562220327
i-247,3,19894,yes,495,0,0,1446,124,19894,0,0,1980,60,19894,0,7.55169,3723286191
i-247,4,19894,yes,511,0,0,162,56,19894,0,0,1620,60,19894,0,7.54111,3377398708
i-247,5,19894,yes,596,0,0,1776,329,19894,0,0,1620,60,19894,0,7.55811,1909708936
